Date,Open,High,Low,Close,Volume
2022-11-25 13:00:00+00:00,282.61,284.15,281.85,281.95,288336.0
2022-11-25 14:00:00+00:00,281.95,282.04,280.69,281.58,3942932.0
2022-11-25 15:00:00+00:00,281.58,282.15,281.35,281.65,2817852.0
2022-11-25 16:00:00+00:00,281.65,282.05,280.79,281.46,3364733.0
2022-11-25 17:00:00+00:00,281.46,281.57,280.95,281.11,3708783.0
2022-11-25 18:00:00+00:00,281.12,281.21,280.89,281.17,1202787.0
2022-11-25 19:00:00+00:00,281.08,281.22,281.06,281.16,35340.0
2022-11-25 20:00:00+00:00,281.14,281.15,281.08,281.11,12227.0
2022-11-25 21:00:00+00:00,281.11,281.16,281.04,281.09,31143.0
2022-11-28 09:00:00+00:00,279.17,279.32,277.93,277.99,91248.0
2022-11-28 10:00:00+00:00,277.99,278.64,277.81,278.47,46491.0
2022-11-28 11:00:00+00:00,278.48,279.01,278.36,278.97,63538.0
2022-11-28 12:00:00+00:00,279.02,279.34,278.92,279.15,139851.0
2022-11-28 13:00:00+00:00,278.99,281.39,278.36,279.43,356419.0
2022-11-28 14:00:00+00:00,279.46,281.22,278.91,280.48,4688885.0
2022-11-28 15:00:00+00:00,280.48,280.74,278.6,278.76,6036731.0
2022-11-28 16:00:00+00:00,278.74,279.5,278.42,279.37,3183891.0
2022-11-28 17:00:00+00:00,279.37,279.91,278.22,278.34,4301287.0
2022-11-28 18:00:00+00:00,278.34,278.78,277.37,277.44,3108909.0
2022-11-28 19:00:00+00:00,277.42,277.57,276.61,277.05,4555724.0
2022-11-28 20:00:00+00:00,277.07,277.24,276.12,276.98,8266940.0
2022-11-28 21:00:00+00:00,276.99,277.39,276.97,277.31,4408462.0
2022-11-28 22:00:00+00:00,277.26,277.34,277.05,277.22,179082.0
2022-11-28 23:00:00+00:00,277.22,277.31,277.08,277.19,58563.0
2022-11-29 00:00:00+00:00,277.15,277.5,277.04,277.41,127296.0
2022-11-29 09:00:00+00:00,278.44,279.1,278.0,278.15,96330.0
2022-11-29 10:00:00+00:00,278.18,278.68,278.02,278.41,57047.0
2022-11-29 11:00:00+00:00,278.4,278.56,278.11,278.51,94990.0
2022-11-29 12:00:00+00:00,278.61,278.63,278.03,278.55,279400.0
2022-11-29 13:00:00+00:00,278.49,279.03,277.22,277.63,726547.0
2022-11-29 14:00:00+00:00,277.6,277.94,275.95,276.25,4445589.0
2022-11-29 15:00:00+00:00,276.27,277.68,275.86,276.64,5452378.0
2022-11-29 16:00:00+00:00,276.67,276.77,273.59,274.96,7665904.0
2022-11-29 17:00:00+00:00,274.97,275.66,274.59,275.27,3026393.0
2022-11-29 18:00:00+00:00,275.28,275.32,273.86,274.86,3783599.0
2022-11-29 19:00:00+00:00,274.85,275.68,274.16,274.64,3667076.0
2022-11-29 20:00:00+00:00,274.64,275.11,274.38,274.93,5065531.0
2022-11-29 21:00:00+00:00,274.94,275.07,274.56,274.86,1593718.0
2022-11-29 22:00:00+00:00,274.99,274.99,274.79,274.84,42832.0
2022-11-29 23:00:00+00:00,274.82,274.87,274.4,274.44,92648.0
2022-11-30 00:00:00+00:00,274.5,275.04,274.45,274.98,74396.0
2022-11-30 09:00:00+00:00,275.96,276.46,275.62,275.91,64944.0
2022-11-30 10:00:00+00:00,275.9,276.21,275.75,275.94,18044.0
2022-11-30 11:00:00+00:00,275.95,276.22,275.67,276.22,20948.0
2022-11-30 12:00:00+00:00,276.14,276.2,275.8,275.83,135681.0
2022-11-30 13:00:00+00:00,276.13,276.7,274.86,274.9,664627.0
2022-11-30 14:00:00+00:00,274.91,276.33,274.86,275.96,4752728.0
2022-11-30 15:00:00+00:00,275.96,276.27,274.86,275.09,5084851.0
2022-11-30 16:00:00+00:00,275.1,276.19,274.61,275.82,3525684.0
2022-11-30 17:00:00+00:00,275.82,275.99,274.37,275.15,3277322.0
2022-11-30 18:00:00+00:00,275.14,280.74,275.09,280.44,14134037.0
2022-11-30 19:00:00+00:00,280.43,284.67,280.4,283.88,17276522.0
2022-11-30 20:00:00+00:00,283.89,287.58,283.6,287.55,20542967.0
2022-11-30 21:00:00+00:00,287.57,288.14,287.01,288.13,5775030.0
2022-11-30 22:00:00+00:00,288.05,288.21,287.49,287.96,413617.0
2022-11-30 23:00:00+00:00,288.02,288.32,287.49,288.1,202106.0
2022-12-01 00:00:00+00:00,288.07,288.26,287.76,287.9,219319.0
2022-12-01 09:00:00+00:00,287.16,287.46,286.35,286.8,372321.0
2022-12-01 10:00:00+00:00,286.85,287.06,286.55,286.58,34909.0
2022-12-01 11:00:00+00:00,286.54,287.14,286.46,287.01,92843.0
2022-12-01 12:00:00+00:00,287.03,287.69,286.97,287.64,401301.0
2022-12-01 13:00:00+00:00,287.25,289.63,286.56,288.26,1872102.0
2022-12-01 14:00:00+00:00,288.32,289.65,287.21,289.04,8896558.0
2022-12-01 15:00:00+00:00,289.06,289.83,285.06,288.14,13153639.0
2022-12-01 16:00:00+00:00,288.17,288.23,286.54,287.16,5333682.0
2022-12-01 17:00:00+00:00,287.16,287.83,286.04,287.54,4510916.0
2022-12-01 18:00:00+00:00,287.52,288.2,286.85,287.64,3863865.0
2022-12-01 19:00:00+00:00,287.66,288.5,287.13,288.4,3387844.0
2022-12-01 20:00:00+00:00,288.4,288.78,287.65,287.84,7547073.0
2022-12-01 21:00:00+00:00,287.84,287.85,287.29,287.33,2444631.0
2022-12-01 22:00:00+00:00,287.3,287.42,287.24,287.35,60086.0
2022-12-01 23:00:00+00:00,287.29,287.55,287.23,287.34,30224.0
2022-12-02 00:00:00+00:00,287.29,287.29,286.65,286.71,147324.0
2022-12-02 09:00:00+00:00,287.56,287.79,287.21,287.77,55448.0
2022-12-02 10:00:00+00:00,287.73,287.9,287.61,287.72,28062.0
2022-12-02 11:00:00+00:00,287.74,287.74,287.27,287.37,20857.0
2022-12-02 12:00:00+00:00,287.43,287.75,287.02,287.75,189807.0
2022-12-02 13:00:00+00:00,287.75,288.06,280.28,282.41,3856733.0
2022-12-02 14:00:00+00:00,282.26,284.42,281.46,283.47,8753264.0
2022-12-02 15:00:00+00:00,283.47,285.33,282.95,284.16,11830999.0
2022-12-02 16:00:00+00:00,284.17,285.94,283.58,285.11,6620176.0
2022-12-02 17:00:00+00:00,285.1,285.96,284.44,284.61,4029057.0
2022-12-02 18:00:00+00:00,284.61,285.18,284.0,284.94,3088903.0
2022-12-02 19:00:00+00:00,284.94,286.22,284.38,286.18,3655433.0
2022-12-02 20:00:00+00:00,286.18,287.58,285.78,286.76,7690605.0
2022-12-02 21:00:00+00:00,286.76,286.77,285.93,285.96,4855671.0
2022-12-02 22:00:00+00:00,286.04,286.31,286.02,286.21,41262.0
2022-12-05 09:00:00+00:00,286.24,286.31,285.41,285.96,87267.0
2022-12-05 10:00:00+00:00,286.01,286.16,285.61,285.93,39666.0
2022-12-05 11:00:00+00:00,285.87,286.38,285.76,286.38,43148.0
2022-12-05 12:00:00+00:00,286.37,286.41,285.33,285.56,136544.0
2022-12-05 13:00:00+00:00,286.24,286.91,284.6,284.73,443168.0
2022-12-05 14:00:00+00:00,284.76,285.85,284.39,284.88,4696837.0
2022-12-05 15:00:00+00:00,284.87,284.89,283.22,284.65,6696323.0
2022-12-05 16:00:00+00:00,284.66,285.34,282.75,282.87,5321883.0
2022-12-05 17:00:00+00:00,282.83,283.46,282.11,282.2,3725898.0
2022-12-05 18:00:00+00:00,282.2,282.88,281.27,281.34,3829700.0
2022-12-05 19:00:00+00:00,281.32,281.78,280.43,280.98,4119241.0
2022-12-05 20:00:00+00:00,280.97,281.94,280.62,281.77,7307902.0
2022-12-05 21:00:00+00:00,281.79,282.12,281.53,282.0,5399239.0
2022-12-05 22:00:00+00:00,281.96,282.04,281.83,281.94,90732.0
2022-12-05 23:00:00+00:00,281.92,282.39,281.74,282.17,81460.0
2022-12-06 00:00:00+00:00,282.23,282.56,282.23,282.43,168386.0
2022-12-06 09:00:00+00:00,282.54,282.63,282.06,282.1,35911.0
2022-12-06 10:00:00+00:00,282.14,282.27,281.51,282.16,45452.0
2022-12-06 11:00:00+00:00,282.21,282.48,281.9,282.41,16812.0
2022-12-06 12:00:00+00:00,282.44,282.81,282.24,282.24,184782.0
2022-12-06 13:00:00+00:00,282.46,282.81,281.47,282.25,350672.0
2022-12-06 14:00:00+00:00,282.26,282.44,278.51,278.52,6078450.0
2022-12-06 15:00:00+00:00,278.51,278.75,276.75,277.27,9191063.0
2022-12-06 16:00:00+00:00,277.26,278.06,276.8,277.4,5738053.0
2022-12-06 17:00:00+00:00,277.42,277.81,276.41,276.67,4534937.0
2022-12-06 18:00:00+00:00,276.69,277.03,275.63,276.31,5599799.0
2022-12-06 19:00:00+00:00,276.31,276.37,274.65,275.39,7179368.0
2022-12-06 20:00:00+00:00,275.4,276.49,274.71,276.08,11714845.0
2022-12-06 21:00:00+00:00,276.08,276.31,275.92,276.24,3910728.0
2022-12-06 22:00:00+00:00,276.21,276.21,276.05,276.19,321986.0
2022-12-06 23:00:00+00:00,276.2,276.55,276.2,276.48,120469.0
2022-12-07 00:00:00+00:00,276.49,276.69,276.31,276.31,108792.0
2022-12-07 09:00:00+00:00,276.18,276.23,275.05,275.24,44406.0
2022-12-07 10:00:00+00:00,275.35,275.45,274.99,275.38,34019.0
2022-12-07 11:00:00+00:00,275.46,275.59,274.23,274.55,85482.0
2022-12-07 12:00:00+00:00,274.55,274.75,272.83,273.36,428446.0
2022-12-07 13:00:00+00:00,274.6,276.66,272.9,274.77,952209.0
2022-12-07 14:00:00+00:00,274.81,276.92,273.66,273.95,7043157.0
2022-12-07 15:00:00+00:00,273.94,276.33,273.2,275.89,9291036.0
2022-12-07 16:00:00+00:00,275.92,276.57,273.64,274.8,5602437.0
2022-12-07 17:00:00+00:00,274.77,275.38,274.01,275.15,3599782.0
2022-12-07 18:00:00+00:00,275.18,276.02,274.68,274.81,2925933.0
2022-12-07 19:00:00+00:00,274.79,275.34,274.22,274.63,4014157.0
2022-12-07 20:00:00+00:00,274.63,275.17,274.03,274.83,6792726.0
2022-12-07 21:00:00+00:00,274.82,275.18,274.56,274.63,4730768.0
2022-12-07 22:00:00+00:00,274.67,274.92,274.61,274.77,863723.0
2022-12-07 23:00:00+00:00,274.75,275.05,274.73,274.86,66814.0
2022-12-08 00:00:00+00:00,274.88,274.91,274.17,274.18,138896.0
2022-12-08 09:00:00+00:00,275.18,275.91,275.18,275.45,71567.0
2022-12-08 10:00:00+00:00,275.5,275.71,275.35,275.57,21893.0
2022-12-08 11:00:00+00:00,275.58,275.88,275.27,275.67,54326.0
2022-12-08 12:00:00+00:00,275.63,276.11,275.38,276.07,253488.0
2022-12-08 13:00:00+00:00,276.06,277.05,274.64,276.54,710555.0
2022-12-08 14:00:00+00:00,276.54,277.21,274.19,277.15,6029491.0
2022-12-08 15:00:00+00:00,277.14,278.8,277.02,278.18,6467673.0
2022-12-08 16:00:00+00:00,278.16,278.48,276.69,277.93,5487234.0
2022-12-08 17:00:00+00:00,277.93,278.17,277.05,277.79,3281428.0
2022-12-08 18:00:00+00:00,277.78,279.14,277.56,278.27,4815894.0
2022-12-08 19:00:00+00:00,278.27,278.27,276.58,277.75,5048868.0
2022-12-08 20:00:00+00:00,277.75,278.82,277.23,278.21,6397889.0
2022-12-08 21:00:00+00:00,278.2,278.5,278.03,278.03,4263035.0
2022-12-08 22:00:00+00:00,278.03,278.31,278.01,278.12,53781.0
2022-12-08 23:00:00+00:00,278.14,278.46,278.03,278.03,42469.0
2022-12-09 00:00:00+00:00,278.02,278.03,277.73,277.83,82051.0
2022-12-09 09:00:00+00:00,279.28,279.5,278.72,278.96,56431.0
2022-12-09 10:00:00+00:00,278.91,279.58,278.91,279.45,41202.0
2022-12-09 11:00:00+00:00,279.54,279.74,279.27,279.52,28894.0
2022-12-09 12:00:00+00:00,279.54,280.34,279.33,280.24,291826.0
2022-12-09 13:00:00+00:00,279.59,280.57,275.31,277.54,2819136.0
2022-12-09 14:00:00+00:00,277.54,278.58,275.96,277.51,6435560.0
2022-12-09 15:00:00+00:00,277.53,279.63,276.55,279.6,9545098.0
2022-12-09 16:00:00+00:00,279.61,279.93,278.67,279.66,4893104.0
2022-12-09 17:00:00+00:00,279.66,279.93,279.01,279.12,5192925.0
2022-12-09 18:00:00+00:00,279.12,279.12,277.88,278.61,5169757.0
2022-12-09 19:00:00+00:00,278.59,278.79,277.83,278.53,3672835.0
2022-12-09 20:00:00+00:00,278.51,278.87,276.35,276.45,6932221.0
2022-12-09 21:00:00+00:00,276.45,278.17,276.0,276.02,3134614.0
2022-12-09 22:00:00+00:00,276.01,276.21,276.01,276.16,34863.0
2022-12-12 09:00:00+00:00,276.43,277.05,276.31,277.05,75991.0
2022-12-12 10:00:00+00:00,277.14,277.47,276.92,277.32,21222.0
2022-12-12 11:00:00+00:00,277.39,277.49,277.17,277.24,24367.0
2022-12-12 12:00:00+00:00,277.33,277.39,277.01,277.05,89809.0
2022-12-12 13:00:00+00:00,277.06,277.49,275.89,277.01,350613.0
2022-12-12 14:00:00+00:00,277.0,277.36,275.79,277.05,5958313.0
2022-12-12 15:00:00+00:00,277.05,277.12,275.54,276.2,5963984.0
2022-12-12 16:00:00+00:00,276.22,277.23,276.11,276.87,4101395.0
2022-12-12 17:00:00+00:00,276.86,277.18,276.59,277.09,2705002.0
2022-12-12 18:00:00+00:00,277.09,277.73,276.52,277.18,3700581.0
2022-12-12 19:00:00+00:00,277.2,278.34,276.75,278.2,3494391.0
