Date,Close,High,Low,Open,Volume
2025-02-03,20.0,20.799999237060547,19.399999618530273,19.799999237060547,9135
2025-02-04,19.399999618530273,20.0,19.200000762939453,19.399999618530273,7055
2025-02-05,19.600000381469727,22.0,19.600000381469727,20.200000762939453,29880
2025-02-06,19.399999618530273,20.0,19.200000762939453,19.600000381469727,6400
2025-02-07,18.0,19.799999237060547,17.799999237060547,19.200000762939453,7030
2025-02-10,18.799999237060547,19.0,18.0,18.0,3450
2025-02-11,18.0,19.0,18.0,18.600000381469727,3310
2025-02-12,16.399999618530273,18.0,16.0,18.0,6710
2025-02-13,16.399999618530273,16.799999237060547,16.0,16.600000381469727,2040
2025-02-14,16.600000381469727,17.0,16.0,16.399999618530273,1125
2025-02-18,16.600000381469727,17.0,16.0,17.0,2565
2025-02-19,16.799999237060547,17.0,15.600000381469727,16.200000762939453,9050
2025-02-20,16.200000762939453,16.600000381469727,16.0,16.0,960
2025-02-21,16.799999237060547,17.0,16.0,16.0,16715
2025-02-24,17.799999237060547,18.0,16.399999618530273,16.399999618530273,6630
2025-02-25,17.799999237060547,18.399999618530273,17.0,18.200000762939453,32365
2025-02-26,19.799999237060547,20.799999237060547,17.399999618530273,19.399999618530273,56715
2025-02-27,19.0,20.0,18.399999618530273,19.399999618530273,7760
2025-02-28,17.200000762939453,18.0,17.0,18.0,2240
2025-03-03,17.0,17.799999237060547,16.600000381469727,16.600000381469727,10015
2025-03-04,15.600000381469727,16.200000762939453,14.399999618530273,15.800000190734863,4015
2025-03-05,15.600000381469727,16.0,15.0,15.0,420
2025-03-06,16.0,16.200000762939453,15.600000381469727,15.600000381469727,850
2025-03-07,16.799999237060547,17.399999618530273,15.600000381469727,15.600000381469727,2010
2025-03-10,15.800000190734863,17.200000762939453,15.800000190734863,17.200000762939453,1110
2025-03-11,15.199999809265137,17.399999618530273,15.0,16.600000381469727,500
2025-03-12,15.199999809265137,16.0,15.0,16.0,485
2025-03-13,15.399999618530273,15.600000381469727,15.0,15.199999809265137,165
2025-03-14,15.399999618530273,15.800000190734863,15.199999809265137,15.199999809265137,70
2025-03-17,16.0,16.399999618530273,15.399999618530273,15.399999618530273,360
2025-03-18,15.600000381469727,16.399999618530273,15.600000381469727,16.200000762939453,595
